mRNA/gene pair,Ensembl IDs,Caov3,COV362,TYK-nu,OVCAR-4,SNU-119,FU-OV-1,IGROV-1,HEY A8,JHOS-2,NIHOVCAR3,OV56 ,OVSAHO,RMUG-S,OV-90,A2780,KURAMOCHI,OVCAR-8
ZNF280D,ENSG00000064933,63.4968,154.76,322.863,1823.88,326.583,811.052,827.57,1530.89,420.756,1013.51,219.467,123.859,439.942,1391.58,825.094,1046.96,294.719
ABHD14B,ENSG00000149554,472.464,821.174,2514.92,323.206,371.784,644.051,395.243,1150.56,562.246,124.074,193.474,104.938,482.422,176.429,1345.9,113.095,2596.12
NDUFS7,ENSG00000068438,556.551,169.365,1162.62,378.706,1201.88,706.117,1752.21,833.508,334.826,484.129,508.163,456.481,584.592,1204.01,1881.63,456.366,301.939
PANK4,ENSG00000168496,1286.47,775.831,1273.97,518.046,3060.24,282.013,1343.07,1415.87,776.478,273.678,1222.17,99.5559,61.5649,412.395,2350.61,332.639,413.121
CDC20,ENSG00000078808,1605.96,384.695,2167.84,100.464,312.699,250.718,54.1623,548.74,177.18,207.806,228.66,261.521,205.677,51.7764,416.933,256.527,219.583
PMS1,ENSG00000100360,360.404,236.697,412.4,174.519,873.718,125.193,236.236,1222.64,480.093,502.83,731.268,162.711,686.577,246.688,523.321,813.803,340.113
CHEK1,ENSG00000162836,390.792,459.148,1062.55,109.615,920.872,185.905,248.339,706.031,198.944,302.418,246.557,155.791,182.226,249.601,1039.71,338.185,374.049
FTSJ1,ENSG00000166233,743.394,698.08,946.115,301.771,631.788,140.487,35.0049,483.95,583.838,354.168,270.056,14.335,645.369,521.275,605.953,260.458,660.42
FEN1,ENSG00000090857,3341.98,1991.94,4532.51,2310.22,1995.5,1924.32,1582.11,2412.56,2820.65,3419.11,1760.19,775.861,1631.1,2398.57,3858.2,1539.08,3298.41
SDF4,ENSG00000090060,1516.68,3171.32,2548.77,1667.99,4969.98,4062.18,3266.23,2723.65,1674.41,2226.02,735.919,1031.27,2629.4,3110.41,1356.77,3270.52,2689.74
IFT27,ENSG00000171988,1575.95,333.669,981.157,343.053,397.047,557.799,252.997,1251.21,1185.96,413.228,487.547,222.92,339.018,528.843,2598.01,146.92,1106.46
ACP6,ENSG00000120733,541.375,399.778,581.211,143.287,2095.47,1272.69,260.475,2694.1,281.409,213.403,75.8209,1119.42,531.709,273.353,1385.4,748.819,824.103
ARIH1,ENSG00000115548,1425.41,802.451,2553.82,393.478,875.629,515.548,1831.56,1307.97,1572.87,1290.84,420.037,120.619,1316.97,1241.91,2181.47,367.226,182.883
PDPR,ENSG00000112531,2182.16,1734.95,4844.96,1497.27,1666.98,1876.83,3524.52,3101.89,2743.02,3270.17,1982.81,1379.45,2276.14,2661.56,2374.89,5612.92,752.24
PAPOLA,ENSG00000113580,2973.74,1452.88,2958.01,1150.4,1198.54,668.598,2544.73,2387.09,2451.99,2171.54,1247.21,391.811,932.983,920.697,2273.73,1243.75,1250.48
JMJD1C,ENSG00000139910,1662.7,777.199,1138.39,914.3,1399.74,1525.11,2040.37,5916.1,1182.43,2319.03,770.213,651.756,1053.57,602.142,4017.85,1492.71,2750.39
KDM3B,ENSG00000104967,2202.96,3368.94,3778.65,4567.07,5319.49,4585.07,5318.55,2818.48,5643.99,7731.33,2338.58,1919.53,4036.78,3337.79,7283.08,6932.81,3622.76
KDM3A,ENSG00000108465,741.747,277.866,983.431,335.025,1707.73,532.017,1925.7,5278.92,1195.14,1586.43,924.82,498.219,778.042,945.043,1889.26,2395.13,461.092
QKI,ENSG00000184207,1178.5,2648.94,990.584,1178.89,243.968,2608.95,928.994,7455.44,2535.17,1381.79,1406.15,868.428,1142.31,2668,3022,1990.14,4550.42
NR3C1,ENSG00000153037,3748.44,2386.37,595.284,691.68,364.747,278.651,492.985,1142.39,1650.38,292.192,467.58,160.675,3106.83,565.655,39.7032,145.879,1655.2
NOVA1,ENSG00000105185,164.782,387.375,1646.1,34.3942,954.2,567.971,80.6674,79.729,163.829,288.139,16.3668,415.619,278.74,109.68,2683.12,2273.02,598.226
NOVA2,ENSG00000129235,101.835,109.01,1847.51,191.122,383.13,432.309,365.503,96.4632,74.9833,326.51,188.578,145.99,107.722,564.735,695.018,179.901,267.977
CDK5RAP3,ENSG00000090316,3156.18,1895.93,2151.61,1591.69,1986.86,2095.87,2108.28,1603.66,2130.61,2345,1626.36,1171.81,1232.54,3202.41,1462.32,1160.55,956.294
PGP,ENSG00000115216,1166.68,2510.53,2162.63,748.154,727.712,748.93,1266.4,1468.59,1449.33,582.84,952.772,299.152,1000.19,1174.63,2746.7,332.702,2800.43
SRP19,ENSG00000158716,941.788,688.987,440.235,723.491,611.587,228.303,563.957,2398.41,771.586,846.141,107.446,325.334,624.385,680.292,1654.4,266.305,1778.31
PDCD5,ENSG00000172795,3732.98,1814.39,2927.21,1665.4,944.129,3703.7,793.802,4074.07,787.483,593.856,604.959,289.754,858.257,1592.71,3295.74,289.821,4641.7
TXNDC17,ENSG00000144840,1087.71,632.845,4284.71,595.034,490.456,1048.63,426.131,1589.12,785.511,299.952,326.13,377.046,462.091,1869.99,3151.21,249.601,1534.74
MAEA,ENSG00000105393,717.886,121.957,680.974,266.304,831.836,196.871,599.723,458.935,373.683,374.123,157.486,113.466,659.325,333.825,399.09,284.064,430.149
NRBP1,ENSG00000145782,1320.5,426.755,1499,956.412,413.32,175.367,428.095,961.658,2391.34,753.9,568.768,64.6352,1749.87,645.743,494.482,63.9999,858.701
DUSP23,ENSG00000117308,358.638,654.928,148.813,186.341,455.946,250.593,85.6767,75.8443,488.862,277.019,160.074,262.843,262.686,97.0695,74.6579,220.572,582.529
DCP2,ENSG00000170430,460.304,95.3186,366.056,300.595,349.569,803.255,685.302,293.215,575.469,948.02,126.636,57.6273,466.285,1053.23,825.866,337.181,302.758
RABL3,ENSG00000136100,1885.13,567.186,1242.47,1200.18,1577.49,1371.4,722.897,940.644,1636.03,2492.61,736.152,575.534,1253.65,1829.46,461.081,1646.99,1600.05
BABAM1,ENSG00000145740,983.43,1147.39,1358.65,382.845,913.676,1106.31,933.524,3106.01,1238.46,663.464,773.561,541.796,702.174,1029.27,1768.67,902.893,1337.67
ATG12,ENSG00000172331,773.143,279.273,821.042,240.646,683.19,107.217,146.492,702.617,860.918,335.036,275.035,84.7836,63.9961,813.888,1443.5,201.292,890.065
GALE,ENSG00000105778,1400.94,1659.11,671.039,885.386,867.074,334.152,623.68,3529.97,860.501,224.602,609.121,421.847,1000.19,865.842,1210.1,452.722,1342.75
MGMT,ENSG00000100226,1044.67,366.45,422.722,350.724,2623.54,934.23,338.515,51.3022,2429.17,2060.02,571.688,262.382,722.299,187.278,3187.83,911.674,3892.47
